title,platform,score,genre,editors_choice,release_year
Discworld,PlayStation,7,Adventure,N,1996
Die Hard Trilogy,PlayStation,7.5,Action,N,1996
Gunship,PlayStation,3,Simulation,N,1996
Olympic Summer Games: Atlanta '96,PlayStation,6,Sports,N,1996
Revolution X,PlayStation,1,Action,N,1996
Shockwave Assault,PlayStation,4,Action,N,1996
HardBall 5,PlayStation,4,Sports,N,1996
Twisted Metal [1996],PlayStation,7,Action,N,1996
WipEout XL,PlayStation,9,Racing,Y,1996
WipEout,PlayStation,8,Racing,N,1996
Tobal No. 1,PlayStation,8.7,Fighting,Y,1996
Star Gladiator Episode 1: Final Crusade,PlayStation,8,Fighting,N,1996
Starfighter,PlayStation,7,Action,N,1996
Battle Arena Toshinden,PlayStation,7,Fighting,N,1996
Destruction Derby,PlayStation,7,"Racing, Action",N,1996
Aquanaut's Holiday,PlayStation,8,Simulation,N,1996
Creature Shock (Special Edition),PlayStation,2,Action,N,1996
Air Combat,PlayStation,7,"Flight, Action",N,1996
Descent,PlayStation,7,Action,N,1996
Cyber Sled,PlayStation,5,Action,N,1996
DEFCON 5,PlayStation,7,Action,N,1996
The King of Fighters '95,PlayStation,5,Fighting,N,1996
Jumping Flash! 2,PlayStation,8,Platformer,N,1996
Epidemic,PlayStation,4,Action,N,1996
Philosoma,PlayStation,5,Action,N,1996
NBA In the Zone,PlayStation,5,Sports,N,1996
Magic Carpet,PlayStation,7.5,Action,N,1996
Power Serve 3D Tennis,PlayStation,2,Sports,N,1996
Resident Evil [1996],PlayStation,8.7,"Action, Adventure",N,1996
NCAA GameBreaker,PlayStation,6.8,Sports,N,1996
Project: Horned Owl,PlayStation,6,Shooter,N,1996
Frank Thomas: Big Hurt Baseball,PC,6,Sports,N,1996
Goal Storm,PlayStation,7,Sports,N,1996
In the Hunt,PlayStation,3,Action,N,1996
International Track & Field,PlayStation,7,Sports,N,1996
Novastorm,PlayStation,2,Shooter,N,1996
PO'ed,PlayStation,8,Action,N,1996
NBA Jam: Tournament Edition,PlayStation,6.5,Sports,N,1996
WWF Wrestlemania: The Arcade Game,PlayStation,7,Wrestling,N,1996
Williams Arcade's Greatest Hits,PlayStation,7,Compilation,N,1996
Tetris Plus,PlayStation,6,Puzzle,N,1996
Slam 'n Jam '96: Featuring Magic and Kareem,PlayStation,5,Sports,N,1996
V-Tennis,PlayStation,4,Sports,N,1996
Tokyo Highway Battle,PlayStation,7,Racing,N,1996
Zero Divide,PlayStation,5,Fighting,N,1996
X-COM: UFO Defense,PlayStation,9,Strategy,Y,1996
Darkstalkers: The Night Warriors,PlayStation,6.5,Fighting,N,1996
FIFA Soccer '96,PlayStation,7.8,Sports,N,1996
Mortal Kombat Trilogy,Nintendo 64,4.1,Fighting,N,1996
Wave Race 64,Nintendo 64,9.7,Racing,Y,1996
Battle Arena Toshinden Remix,Saturn,5,Fighting,N,1996
Cruis'n USA,Nintendo 64,4,Racing,N,1996
Batman Forever: The Arcade Game,PlayStation,5,Action,N,1996
Pilotwings 64,Nintendo 64,8.2,Flight,N,1996
Road Rash,PlayStation,5,"Racing, Action",N,1996
Ridge Racer [1995],PlayStation,7.5,Racing,N,1996
Shellshock,PlayStation,7,Action,N,1996
SimCity 2000,PlayStation,7,Strategy,N,1996
Street Fighter Alpha: Warriors' Dreams,PlayStation,7,Fighting,N,1996
The Hive,PlayStation,3,Action,N,1996
Loaded,PlayStation,7.5,Shooter,N,1996
Revolution X,PlayStation,1,Action,N,1996
Olympic Summer Games: Atlanta '96,PlayStation,6,Sports,N,1996
NBA Live '96,PlayStation,7,Sports,N,1996
Psychic Detective,PlayStation,2,Adventure,N,1996
NHL FaceOff,PlayStation,9,Sports,N,1996
NFL GameDay,PlayStation,8,Sports,N,1996
Kileak: The DNA Imperative,PlayStation,3,Action,N,1996
Raven Project,PlayStation,3,Action,N,1996
Silverload,PlayStation,6,Adventure,N,1996
Formula 1,PlayStation,8,Racing,N,1996
Worms,PlayStation,8,Strategy,N,1996
Zoop,PlayStation,5,Puzzle,N,1996
Space Griffon,PlayStation,2,Action,N,1996
Tekken 2,PlayStation,9,Fighting,Y,1996
Warhawk,PlayStation,8.7,"Flight, Action",N,1996
Rayman,PlayStation,7,Platformer,N,1996
Romance of the Three Kingdoms IV: Wall of Fire,PlayStation,6,Strategy,N,1996
Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,PlayStation,4,Fighting,N,1996
Super Mario 64,Nintendo 64,9.8,Platformer,Y,1996
Baku Baku,Saturn,7,Puzzle,N,1996
The Walking Dead: The Game -- Episode 1: A New Day,Xbox 360,8.5,Adventure,N,1970
Olympic Soccer,PlayStation,6,Sports,N,1996
Off-World Interceptor Extreme,PlayStation,4,Action,N,1996
Gex,PlayStation,6,Platformer,N,1996
Skeleton Warriors,PlayStation,5,Action,N,1996
Johnny Bazookatone,PlayStation,5,Platformer,N,1996
PGA Tour '96,PlayStation,7,Sports,N,1996
Namco Museum Vol. 1,PlayStation,8,"Action, Compilation",N,1996
Road & Track Presents: The Need for Speed,PlayStation,7,Racing,N,1996
Mario Kart 64,Nintendo 64,8.1,"Racing, Action",Y,1997
Rally Cross,PlayStation,7,Racing,N,1997
Spider,PlayStation,6,Action,N,1997
Grid Runner,PlayStation,6,Action,N,1997
Virtual Pool,PlayStation,7,Sports,N,1997
Pro-Pinball,PlayStation,8,Pinball,N,1997
Deception: Invitation to Darkness,PlayStation,7,Strategy,N,1997
Peak Performance,PlayStation,7,Racing,N,1997
Independence Day,PlayStation,2,Action,N,1997
Buster Bros. Collection,PlayStation,6,Action,N,1997
Re-Loaded: The Hardcore Sequel,PlayStation,4,Shooter,N,1996
Destruction Derby 2,PlayStation,7.2,Racing,N,1996
Blood Omen: Legacy of Kain,PlayStation,8.5,"Action, RPG",Y,1997
Tunnel B-1,PlayStation,6,Action,N,1997
Doom 64,Nintendo 64,7.4,Shooter,N,1997
NHL FaceOff '97,PlayStation,8,Sports,N,1997
Super Puzzle Fighter II Turbo,PlayStation,9,"Puzzle, Action",Y,1997
NBA Hang Time,Nintendo 64,5.4,Sports,N,1997
Suikoden,PlayStation,9,RPG,N,1997
Battle Stations,PlayStation,6,Strategy,N,1997
Nanotek Warrior,PlayStation,8,Action,N,1997
Rush Hour,PlayStation,6,Racing,N,1997
BRAHMA Force: The Assault On Beltlogger 9,PlayStation,7,Action,N,1997
Vandal Hearts,PlayStation,8,RPG,N,1997
MechWarrior 2,PlayStation,8,Simulation,N,1997
VR Baseball '97,PlayStation,7,Sports,N,1997
Need for Speed II,PlayStation,6,Racing,N,1997
Samurai Shodown III: Blades of Blood,PlayStation,6.5,Fighting,N,1996
Mortal Kombat Trilogy,PlayStation,6,Fighting,N,1996
Pitball,PlayStation,5,Action,N,1996
MLB Pennant Race,PlayStation,5,Sports,N,1996
Tempest X3: An Inter-Galactic Battle Zone,PlayStation,8,Action,N,1996
Project Overkill,PlayStation,5,Action,N,1997
Crusader: No Remorse,PlayStation,7,Action,N,1997
VR Golf '97,PlayStation,8,Sports,N,1997
Iron Man / XO Manowar in Heavy Metal,PlayStation,3,Action,N,1997
Disruptor,PlayStation,8,Shooter,N,1997
Final Doom,PlayStation,7,Action,N,1997
Twisted Metal 2,PlayStation,7.3,Action,N,1997
NFL GameDay 97,PlayStation,7.8,Sports,N,1997
Jet Moto,PlayStation,8,Racing,N,1997
FIFA Soccer 64,Nintendo 64,4.2,Sports,N,1997
Command & Conquer (1997),PlayStation,8,Strategy,N,1997
Mega Man 8,PlayStation,6,Action,N,1997
Big Bass World Championship,PlayStation,6,Hunting,N,1997
Blast Corps,Nintendo 64,9,Action,Y,1997
NBA Live '97,PlayStation,8,Sports,N,1997
NBA ShootOut '97,PlayStation,9,Sports,Y,1997
Turok: Dinosaur Hunter,Nintendo 64,8.6,Shooter,N,1997
The Crow: City of Angels,PlayStation,1,Action,N,1997
Star Wars: Dark Forces,PlayStation,5,Action,N,1996
Tomb Raider -- Featuring Lara Croft,PlayStation,9.3,Adventure,N,1996
Pandemonium,PlayStation,6.6,Platformer,N,1996
Cool Boarders,PlayStation,7,Sports,N,1996
NBA In the Zone 2,PlayStation,9,Sports,N,1996
Street Fighter Alpha 2,PlayStation,8.5,Fighting,N,1996
TNN Motorsports Hardcore 4X4,PlayStation,4,Racing,N,1997
Black Dawn,PlayStation,7.5,Simulation,N,1997
Namco Museum Vol. 3,PlayStation,6,"Action, Compilation",N,1997
Crypt Killer,PlayStation,4,Action,N,1997
Carnage Heart,PlayStation,9.2,Strategy,N,1997
Soul Blade,PlayStation,8.3,Fighting,Y,1997
Hi-Octane,PlayStation,6,Racing,N,1997
Star Wars: Shadows of the Empire,Nintendo 64,6.5,Action,N,1996
Wayne Gretzky's 3D Hockey,Nintendo 64,7.1,Sports,N,1996
Killer Instinct Gold,Nintendo 64,6.5,Fighting,N,1996
Spot Goes to Hollywood,PlayStation,3,Platformer,N,1996
Space Hulk: Vengeance of the Blood Angels,PlayStation,6,Action,N,1996
Tekken,PlayStation,7.5,Fighting,N,1996
VR Soccer '96,PlayStation,7.7,Sports,N,1996
Top Gun: Fire At Will,PlayStation,3,Simulation,N,1996
World Cup Golf: Professional Edition,PlayStation,5,Sports,N,1996
Tobal No. 1,PlayStation,8.7,Fighting,Y,1996
Twisted Metal [1996],PlayStation,7,Action,N,1996
WipEout XL,PlayStation,9,Racing,Y,1996
Doraemon Nobita & The 3 Fairy Spirit Stones,Nintendo 64,3,Platformer,N,1997
Xevious 3D/G+,PlayStation,8,Shooter,N,1997
Thunder Truck Rally,PlayStation,7,Racing,N,1997
NBA Hang Time,PlayStation,4,Sports,N,1997
All-Star Baseball '97 Featuring Frank Thomas,PlayStation,5,Sports,N,1997
War Gods,Nintendo 64,4.3,Fighting,N,1997
Broken Helix,PlayStation,6,"Action, Adventure",N,1997
Codename: Tenka,PlayStation,7,Shooter,N,1997
War Gods,PlayStation,4,Fighting,N,1997
Hexen,PlayStation,5,Action,N,1997
Descent Maximum,PlayStation,7.5,Action,N,1997
The City of Lost Children,PlayStation,5,Adventure,N,1997
Wing Commander IV: The Price of Freedom,PlayStation,4,Simulation,N,1997
Overblood,PlayStation,6,Adventure,N,1997
Wild ARMs,PlayStation,8,RPG,N,1997
Rage Racer,PlayStation,7,Racing,N,1997
Star Fox 64,Nintendo 64,8.7,"Flight, Action",N,1997
Swagman,PlayStation,5,Action,N,1997
Grand Slam,PlayStation,6,Sports,N,1997
Triple Play '98,PlayStation,9.2,Sports,N,1997
Norse By Norse West: The Return of the Lost Vikings,PlayStation,6,Platformer,N,1997
Tail of the Sun,PlayStation,7,Adventure,N,1997
Goal Storm '97,PlayStation,6,Sports,N,1997
Sentient [1997],PlayStation,5,Adventure,N,1997
Psychic Force,PlayStation,5,Fighting,N,1997
NHL Powerplay '98,PlayStation,7,Sports,N,1997
Madden NFL '98,PlayStation,7,Sports,N,1997
The Lost World: Jurassic Park,PlayStation,5,Action,N,1997
NFL GameDay 98,PlayStation,8.8,Sports,Y,1997
GoldenEye 007,Nintendo 64,9.7,Shooter,Y,1997
Ace Combat 2,PlayStation,9,"Flight, Action",Y,1997
Warcraft II: The Dark Saga,PlayStation,7,Strategy,N,1997
Machine Hunter,PlayStation,5,Action,N,1997
Tetrisphere,Nintendo 64,8,Puzzle,N,1997
Ogre Battle,PlayStation,6,Strategy,N,1997
Porsche Challenge,PlayStation,8,Racing,N,1997
NCAA Football '98,PlayStation,7,Sports,N,1997
Lethal Enforcers I & II,PlayStation,4,Action,N,1997
VMX Racing,PlayStation,5,Racing,N,1997
Duke Nukem 64,Nintendo 64,8,Shooter,N,1997
NBA Live '98,PlayStation,8,Sports,N,1997
Jet Moto 2,PlayStation,7,Racing,N,1997
Cool Boarders 2,PlayStation,7.2,Sports,N,1997
Time Crisis,PlayStation,8,Action,Y,1997
Maximum Force,PlayStation,5,Shooter,N,1997
Treasures of the Deep,PlayStation,8,Adventure,N,1997
Discworld II: Mortality Bytes!,PlayStation,6,Adventure,N,1997
Nuclear Strike,PlayStation,7.6,Action,N,1997
NHL FaceOff '98,PlayStation,8,Sports,N,1997
NASCAR 98,PlayStation,8,Racing,N,1997
MLB '98,PlayStation,8,Sports,N,1997
Herc's Adventures,PlayStation,6,Action,N,1997
Namco Museum Vol. 4,PlayStation,6,"Action, Compilation",N,1997
Syndicate Wars,PlayStation,5,Shooter,N,1997
Dark Rift,Nintendo 64,5.4,Fighting,N,1997
Hercules,PlayStation,6,Action,N,1997
Battlesport,PlayStation,6,Action,N,1997
Darklight Conflict,PlayStation,7,Action,N,1997
Dynasty Warriors,PlayStation,7.8,Fighting,N,1997
F1 Pole Position 64,Nintendo 64,4.1,Racing,N,1997
Madden Football 64,Nintendo 64,7.8,Sports,N,1997
1080° Snowboarding,Nintendo 64,8.6,Sports,Y,1998
San Francisco Rush: Extreme Racing,PlayStation,5,Racing,N,1998
Judge Dredd,PlayStation,2,Shooter,N,1998
Tennis Arena,PlayStation,5,Sports,N,1998
Rampage: World Tour,Nintendo 64,4.9,Action,N,1998
Pitfall 3D,PlayStation,7,Platformer,N,1998
San Francisco Rush: Extreme Racing,Nintendo 64,8.9,Racing,N,1997
Dragon Ball GT Final Bout,PlayStation,3,Fighting,N,1997
Mass Destruction,PlayStation,7,Action,N,1997
Need for Speed: V-Rally,PlayStation,8,Racing,N,1997
Caesars Palace,PlayStation,6,Casino,N,1997
Crash Bandicoot 2: Cortex Strikes Back,PlayStation,8.5,Platformer,N,1997
Colony Wars,PlayStation,9.3,Action,Y,1997
Frogger,PlayStation,2,Platformer,N,1997
Moto Racer,PlayStation,7.5,Racing,N,1997
Jeopardy! [1998],Nintendo 64,3.8,Simulation,N,1998
NCAA March Madness '98,PlayStation,6.5,Sports,N,1998
Shadow Master,PlayStation,4,Action,N,1998
Oddworld: Abe's Oddysee,PlayStation,7.5,Adventure,N,1997
NHL '98,PlayStation,8,Sports,N,1997
Poy Poy,PlayStation,8,Action,Y,1997
Bottom of the 9th '97,PlayStation,6,Sports,N,1997
Magic: The Gathering -- Battlemage,PlayStation,4,Strategy,N,1997
Steel Reign,PlayStation,7,Action,N,1997
Tecmo Stackers,PlayStation,7,Puzzle,N,1997
Multi Racing Championship,Nintendo 64,6.4,Racing,N,1997
RayStorm,PlayStation,7.5,Action,N,1997
Hexen,Nintendo 64,3.7,Action,N,1997
Battle Arena Toshinden 3,PlayStation,6.3,Fighting,N,1997
WCW vs. NWO: World Tour,Nintendo 64,7.5,Wrestling,N,1997
Spawn: The Eternal,PlayStation,2,Action,N,1997
Mortal Kombat Mythologies: Sub-Zero,Nintendo 64,3,Platformer,N,1997
Wheel of Fortune [1997],Nintendo 64,6.4,Puzzle,N,1997
Bug Riders,PlayStation,3,Racing,N,1997
Automobili Lamborghini,Nintendo 64,7,Racing,N,1997
Excalibur 2555 AD,PlayStation,3,Action,N,1997
Armored Core,PlayStation,8,Action,N,1997
ClayFighter 63 1/3,Nintendo 64,3.7,Fighting,N,1997
Persona,PlayStation,7.5,RPG,N,1997
Golden Nugget,PlayStation,6,Strategy,N,1997
Bushido Blade,PlayStation,8.7,Fighting,Y,1997
Diablo,PlayStation,7.5,"Action, RPG",N,1998
Dead or Alive,PlayStation,8.5,Fighting,Y,1998
Speed Racer,PlayStation,5,Racing,N,1998
Lode Runner: The Legend Returns,PlayStation,6,Action,N,1998
Saga Frontier,PlayStation,7,RPG,N,1998
Rascal,PlayStation,2,Platformer,N,1998
Quake,Nintendo 64,8,Action,N,1998
ReBoot,PlayStation,7,Action,N,1998
Snowboard Kids,Nintendo 64,8,"Sports, Racing",N,1998
Test Drive 4,PlayStation,7,Racing,N,1997
Fighting Force,PlayStation,5.5,Action,N,1997
Jimmy Johnson's VR Football 98,PlayStation,4,Sports,N,1997
Reel Fishing,PlayStation,6,Hunting,N,1997
Shipwreckers!,PlayStation,6,Action,N,1997
Command & Conquer: Red Alert,PlayStation,8,Strategy,N,1997
Rampage: World Tour,PlayStation,5,Action,N,1997
Street Fighter EX Plus Alpha,PlayStation,8.3,Fighting,N,1997
Nightmare Creatures,PlayStation,7.8,Action,N,1997
NBA In the Zone '98,Nintendo 64,4.7,Sports,N,1998
Nagano Winter Olympics '98,Nintendo 64,4.2,Sports,N,1998
Skullmonkeys,PlayStation,6,Platformer,N,1998
Nagano Winter Olympics '98,PlayStation,3,Sports,N,1998
NBA in the Zone '98,PlayStation,8,Sports,N,1998
Fighters Destiny,Nintendo 64,8,Fighting,N,1998
NHL Breakaway '98,PlayStation,7,Sports,N,1997
Felony 11-79,PlayStation,7,"Racing, Action",N,1997
Arcade's Greatest Hits: The Atari Collection 1,PlayStation,7,Compilation,N,1997
Tiger Shark,PlayStation,6.5,Action,N,1997
Final Fantasy VII,PlayStation,9.5,RPG,Y,1997
International Superstar Soccer 64,Nintendo 64,9,Sports,N,1997
K-1 The Arena Fighters,PlayStation,4.5,Fighting,N,1997
The Incredible Hulk: The Pantheon Saga,PlayStation,5,Action,N,1997
Duke Nukem: Total Meltdown,PlayStation,7,Shooter,N,1997
Bomberman 64,Nintendo 64,7.6,Action,N,1997
Vs.,PlayStation,4,Fighting,N,1997
AeroFighters Assault,Nintendo 64,5,Shooter,N,1997
Ghost in the Shell,PlayStation,8,Action,N,1997
Arcade's Greatest Hits: The Midway Collection 2,PlayStation,7,Action,N,1997
Namco Museum Vol. 5,PlayStation,6,"Action, Compilation",N,1997
Tomb Raider II Starring Lara Croft,PlayStation,8,Adventure,N,1997
Diddy Kong Racing,Nintendo 64,8.4,"Racing, Action",N,1997
G-Police,PlayStation,8,Action,N,1997
Clock Tower,PlayStation,5.5,Adventure,N,1997
CART World Series,PlayStation,7,Racing,N,1997
Bravo Air Race,PlayStation,4,Racing,N,1997
WCW vs. The World,PlayStation,6,Wrestling,N,1997
Mace: The Dark Age,Nintendo 64,7.1,Fighting,N,1997
Top Gear Rally,Nintendo 64,8.4,Racing,N,1997
NBA ShootOut '98,PlayStation,8.8,Sports,N,1998
Yoshi's Story,Nintendo 64,7,Platformer,N,1998
Klonoa: Door to Phantomile,PlayStation,8,Platformer,Y,1998
Ray Tracers,PlayStation,7,Action,N,1998
Triple Play '99,PlayStation,7,Sports,N,1998
Bloody Roar,PlayStation,8,Fighting,N,1998
X-Men: Children of the Atom,PlayStation,3.5,Fighting,N,1998
SimCity 2000,Nintendo 64,3.5,Strategy,N,1998
Extreme-G,Nintendo 64,7.9,Racing,N,1997
NFL Quarterback Club '98,Nintendo 64,7.8,Sports,N,1997
Final Fantasy Tactics,PlayStation,8.5,"Strategy, RPG",Y,1998
Monopoly [1998],PlayStation,3,Board,N,1998
Auto Destruct,PlayStation,6,Action,N,1998
Resident Evil 2 [1998],PlayStation,9.3,"Action, Adventure",Y,1998
Riven: The Sequel to Myst,PlayStation,7,Adventure,N,1998
WCW Nitro,PlayStation,7,Wrestling,N,1998
Beast Wars: Transformers,PlayStation,2.3,Action,N,1998
Red Asphalt,PlayStation,5,Action,N,1998
Micro Machines V3,PlayStation,8.7,Racing,N,1998
BallBlazer Champions,PlayStation,6,"Sports, Action",N,1997
Fantastic Four,PlayStation,1,Action,N,1997
FIFA Road to World Cup 98,PlayStation,8.5,Sports,N,1997
NCAA GameBreaker '98,PlayStation,8,Sports,N,1997
MDK,PlayStation,8,Action,N,1997
NBA Fastbreak '98,PlayStation,4,Sports,N,1997
Star Wars: Masters of Teras Kasi,PlayStation,4,Fighting,N,1997
Courier Crisis,PlayStation,3,Action,N,1997
Monster Rancher,PlayStation,9,Simulation,N,1997
Castlevania: Symphony of the Night,PlayStation,9,"Action, Adventure",Y,1997
Mischief Makers,Nintendo 64,6.2,Platformer,N,1997
Croc: Legend of the Gobbos,PlayStation,8,Platformer,N,1997
Formula 1: Championship Edition,PlayStation,9,Racing,N,1997
Mortal Kombat Mythologies: Sub-Zero,PlayStation,3.5,Platformer,N,1997
Mega Man X4,PlayStation,7,Action,N,1997
PGA Tour '98,PlayStation,7,Sports,N,1997
Resident Evil: Director's Cut,PlayStation,8.9,"Action, Adventure",N,1997
Marvel Super Heroes,PlayStation,7,Fighting,N,1997
NHL Breakaway '98,Nintendo 64,7.4,Sports,N,1998
Wayne Gretzky's 3D Hockey '98,Nintendo 64,5.8,Sports,N,1998
Alundra,PlayStation,8.5,"Action, RPG",Y,1998
Robotron 64,Nintendo 64,6.9,Action,N,1998
Puyo Puyo Sun64,Nintendo 64,7.2,Puzzle,N,1997
FIFA Road to World Cup 98,Nintendo 64,7.7,Sports,N,1997
Street Fighter Collection,PlayStation,7,"Fighting, Compilation",N,1997
Chameleon Twist,Nintendo 64,6.5,Platformer,N,1997
One,PlayStation,5,Action,N,1997
Parappa The Rapper,PlayStation,9,Music,Y,1997
Critical Depth,PlayStation,5,Action,N,1997
Intelligent Qube,PlayStation,8,Puzzle,N,1997
Car and Driver Presents Grand Tour Racing 98,PlayStation,6,Racing,N,1997
Jersey Devil,PlayStation,5,Platformer,N,1998
Wetrix,Nintendo 64,8.4,Puzzle,N,1998
Soviet Strike,PlayStation,8,Action,N,1998
X-Men vs. Street Fighter,PlayStation,6,Fighting,N,1998
Quest 64,Nintendo 64,5.9,RPG,N,1998
Road Rash 3D,PlayStation,5,Racing,N,1998
Vigilante 8,PlayStation,8,Action,N,1998
Forsaken 64,Nintendo 64,8,Action,N,1998
Major League Baseball Featuring Ken Griffey Jr.,Nintendo 64,7.7,Sports,N,1998
All-Star Baseball '99,Nintendo 64,8.2,Sports,N,1998
Bust-A-Move 2 Arcade Edition,Nintendo 64,8,Puzzle,N,1998
Aero Gauge,Nintendo 64,5.2,Racing,N,1998
Bio F.R.E.A.K.S.,PlayStation,6.5,Fighting,N,1998
Bio F.R.E.A.K.S.,Nintendo 64,6.4,Action,N,1998
World Cup 98,Nintendo 64,8.8,Sports,N,1998
Breath of Fire III,PlayStation,7.5,RPG,N,1998
Hot Shots Golf,PlayStation,8,"Sports, Action",Y,1998
Kobe Bryant in NBA Courtside,Nintendo 64,7.8,Sports,N,1998
Mystical Ninja Starring Goemon,Nintendo 64,7.6,"Action, Adventure",N,1998
Theme Hospital,PlayStation,7,Strategy,N,1998
MLB '99,PlayStation,7,Sports,N,1998
Blasto,PlayStation,5,Action,N,1998
Newman Haas Racing,PlayStation,8,Racing,N,1998
Point Blank,PlayStation,8,Action,N,1998
Deathtrap Dungeon,PlayStation,5,Adventure,N,1998
SWAT 2,PC,7,"Action, Simulation",N,1998
Batman & Robin,PlayStation,5,Action,N,1998
SEGA Touring Car Championship,PC,5,Racing,N,1998
Fox Sports Golf '99,PC,6,Sports,N,1998
Army Men,PC,4,Action,N,1998
Revenge of Arcade,PC,6,Action,N,1998
Dominion:  Storm Over Gift 3,PC,4,Strategy,N,1998
Addiction Pinball,PC,8,Pinball,N,1998
F-1 World Grand Prix,Nintendo 64,8.3,Racing,N,1998
Mission: Impossible,Nintendo 64,6.6,Action,N,1998
World Cup 98,PlayStation,8,Sports,N,1998
NFL Xtreme,PlayStation,5,"Sports, Action",N,1998
Granstream Saga,PlayStation,6,RPG,N,1998
Forsaken,PlayStation,8,Action,N,1998
Grand Theft Auto,PlayStation,6,Action,N,1998
Crime Killer,PlayStation,5,Action,N,1998
Off-Road Challenge,Nintendo 64,2.5,Racing,N,1998
Banjo-Kazooie,Nintendo 64,9.6,Platformer,Y,1998
Mortal Kombat 4,Nintendo 64,8.8,Fighting,N,1998
Mortal Kombat 4,PlayStation,8,Fighting,N,1998
Jeremy McGrath Supercross '98,PlayStation,5,Racing,N,1998
N2O: Nitrous Oxide,PlayStation,8,Shooter,N,1998
Chopper Attack,Nintendo 64,5.6,Action,N,1998
C: The Contra Adventure,PlayStation,1,Action,N,1998
Dune 2000,PC,5.3,Strategy,N,1998
Future Cop: L.A.P.D.,PlayStation,8.3,Action,N,1998
M.A.X. 2,PC,3.7,Strategy,N,1998
Mega Man Legends,PlayStation,8.4,"Action, Adventure",N,1998
Parasite Eve,PlayStation,7.4,RPG,N,1998
MechCommander,PC,7.8,Strategy,N,1998
Pro Bass Fishing,PC,2.9,Hunting,N,1998
WarGames,PC,7,Strategy,N,1998
Triple Play '99,PC,5,Sports,N,1998
High Heat Baseball 1999,PC,7,Sports,N,1998
Flesh Feast,PC,5,Action,N,1998
Grim Fandango,PC,9.4,Adventure,Y,1998
Rally Cross 2,PlayStation,7.5,Racing,N,1998
Return Fire II,PC,7.8,Strategy,N,1998
Hedz,PC,6.5,Action,N,1998
Mike Piazza's StrikeZone,Nintendo 64,3,Sports,N,1998
Virtual Chess 64,Nintendo 64,7.7,Board,N,1998
Metal Gear Solid,PlayStation,9.8,"Action, Adventure",Y,1998
NASCAR 99,Nintendo 64,7,Racing,N,1998
Kagero: Deception II,PlayStation,8.5,Strategy,N,1998
Red Jack: Revenge of the Brethren,PC,7,Adventure,N,1998
Xenogears,PlayStation,9.5,RPG,Y,1998
Deadly Arts,Nintendo 64,3.2,Fighting,N,1998
GT 64 Championship Edition,Nintendo 64,3.9,Racing,N,1998
NFL Blitz [1998],Nintendo 64,9.1,"Sports, Action",N,1998
NFL Blitz [1998],PlayStation,9.4,"Sports, Action",N,1998
NCAA Football '99,PC,7,Sports,N,1998
Gex 64: Enter the Gecko,Nintendo 64,5.7,Platformer,N,1998
Incoming,PC,7,Action,N,1998
Deathtrap Dungeon,PC,4.7,Action,N,1998
HardBall 6,PC,6,Sports,N,1998
Forsaken,PC,8.5,Action,N,1998
Urban Assault,PC,6.8,Strategy,N,1998
Warhammer: Dark Omen,PC,7,Strategy,N,1998
Panzer Commander,PC,7,Simulation,N,1998
Bio F.R.E.A.K.S.,PC,4,Action,N,1998
Icarus: Sanctuary of the Gods,PC,4,RPG,N,1998
Rosco McQueen: Firefighter Extreme,PlayStation,4.5,Action,N,1998
Cool Boarders 3,PlayStation,6,Sports,N,1998
Trespasser,PC,4.7,Action,N,1998
NCAA GameBreaker '99,PlayStation,8.5,Sports,N,1998
Extreme PaintBrawl,PC,0.7,Action,N,1998
Bushido Blade 2,PlayStation,7,Fighting,N,1998
Front Office Football,PC,8,"Sports, Simulation",N,1998
NHL '99,PC,9,Sports,Y,1998
F-Zero X,Nintendo 64,9.1,Racing,Y,1998
Armored Core: Project Phantasma,PlayStation,7.8,Action,N,1998
Quake II Mission Pack: Ground Zero,PC,7.5,Shooter,N,1998
Star Trek: The Next Generation: Klingon Honor Guard,PC,7,Shooter,N,1998
Team Losi RC Racer,PlayStation,5,Racing,N,1998
Duke Nukem: Time to Kill,PlayStation,8,Action,N,1998
Knights and Merchants: The Shattered Kingdom,PC,5.9,Strategy,N,1998
Iggy's Reckin' Balls,Nintendo 64,6.9,Platformer,N,1998
Independence War,PC,8,Simulation,N,1998
Spyro the Dragon,PlayStation,9,Platformer,N,1998
Tom Clancy's Rainbow Six,PC,9.4,Shooter,Y,1998
Command & Conquer: Red Alert Retaliation,PlayStation,7,Strategy,N,1998
Heart of Darkness,PlayStation,7.8,Platformer,N,1998
NFL GameDay 99,PC,6,Sports,N,1998
Pro-Pinball: Timeshock!,PlayStation,5,Pinball,N,1998
Motocross Madness [1998],PC,8,Racing,N,1998
Sanitarium,PC,7,Adventure,N,1998
Peter Jacobsen's Golden Tee Golf,PC,7.2,Sports,N,1998
Ultim@te Race Pro,PC,7,Racing,N,1998
Nam,PC,3,Action,N,1998
Unreal,PC,9,Shooter,Y,1998
Final Fantasy VII,PC,8.2,RPG,N,1998
"Game, Net & Match",PC,6,Sports,N,1998
"The Operational Art of War, Vol. 1",PC,9,Strategy,Y,1998
Might and Magic VI: The Mandate of Heaven,PC,9,RPG,Y,1998
Test Drive Off-Road 2,PlayStation,5.8,Racing,N,1998
Railroad Tycoon II,PC,8.9,Strategy,Y,1998
